test_year,train_end,feature_a,feature_b,spearman_rho,N_train
2024,2022-12-31,RegimeCVScore,DeltaBeta5d,-0.020861690541542636,4531
2024,2022-12-31,RegimeCVScore,VolS_roll20,-0.12455091766711025,4531
2024,2022-12-31,RegimeCVScore,VolSM_roll20,-0.1935305906972439,4531
2024,2022-12-31,RegimeCVScore,RegimeEGScore,0.3428103588639258,4531
2024,2022-12-31,RegimeCVScore,RegimeHLScore,0.44337531672215313,4531
2024,2022-12-31,RegimeCVScore,RegimeCVScore,1.0,4531
2025,2023-12-31,ZScore20,ZScore20,1.0,4781
2025,2023-12-31,ZScore20,SpreadReturn,0.42997220643368145,4781
2025,2023-12-31,ZScore20,RollStd20,0.03173633618000792,4781
2025,2023-12-31,ZScore20,DeltaBeta5d,0.02772166315991246,4781
2025,2023-12-31,ZScore20,VolS_roll20,0.05760683229132486,4781
2025,2023-12-31,ZScore20,VolSM_roll20,0.057967556729964426,4781
2025,2023-12-31,ZScore20,RegimeEGScore,-0.05236531723008501,4781
2025,2023-12-31,ZScore20,RegimeHLScore,-0.07428301889378515,4781
2025,2023-12-31,ZScore20,RegimeCVScore,-0.027403635116169587,4781
2025,2023-12-31,SpreadReturn,ZScore20,0.42997220643368145,4781
2025,2023-12-31,SpreadReturn,SpreadReturn,1.0,4781
2025,2023-12-31,SpreadReturn,RollStd20,-0.0024032039830345613,4781
2025,2023-12-31,SpreadReturn,DeltaBeta5d,0.012900746979469553,4781
2025,2023-12-31,SpreadReturn,VolS_roll20,0.007437840320981229,4781
2025,2023-12-31,SpreadReturn,VolSM_roll20,0.029349554592157108,4781
2025,2023-12-31,SpreadReturn,RegimeEGScore,-0.031265548188506014,4781
2025,2023-12-31,SpreadReturn,RegimeHLScore,-0.04653378001759338,4781
2025,2023-12-31,SpreadReturn,RegimeCVScore,-0.0203100386643722,4781
2025,2023-12-31,RollStd20,ZScore20,0.03173633618000792,4781
2025,2023-12-31,RollStd20,SpreadReturn,-0.0024032039830345613,4781
2025,2023-12-31,RollStd20,RollStd20,1.0,4781
2025,2023-12-31,RollStd20,DeltaBeta5d,0.0064439570736297865,4781
2025,2023-12-31,RollStd20,VolS_roll20,-0.08329886415244296,4781
2025,2023-12-31,RollStd20,VolSM_roll20,-0.07445474814002548,4781
2025,2023-12-31,RollStd20,RegimeEGScore,-0.1726275996891082,4781
2025,2023-12-31,RollStd20,RegimeHLScore,-0.10834159949860796,4781
2025,2023-12-31,RollStd20,RegimeCVScore,-0.2628285884860281,4781
2025,2023-12-31,DeltaBeta5d,ZScore20,0.02772166315991246,4781
2025,2023-12-31,DeltaBeta5d,SpreadReturn,0.012900746979469553,4781
2025,2023-12-31,DeltaBeta5d,RollStd20,0.0064439570736297865,4781
2025,2023-12-31,DeltaBeta5d,DeltaBeta5d,1.0,4781
2025,2023-12-31,DeltaBeta5d,VolS_roll20,-0.04320499343986003,4781
2025,2023-12-31,DeltaBeta5d,VolSM_roll20,-0.091989868247418,4781
2025,2023-12-31,DeltaBeta5d,RegimeEGScore,-0.0725853692795873,4781
2025,2023-12-31,DeltaBeta5d,RegimeHLScore,-0.05276635839464454,4781
2025,2023-12-31,DeltaBeta5d,RegimeCVScore,-0.004027854130409942,4781
2025,2023-12-31,VolS_roll20,ZScore20,0.05760683229132486,4781
2025,2023-12-31,VolS_roll20,SpreadReturn,0.007437840320981229,4781
