variant,seed,test_year,group,features,sharpe_loss,net_pnl_loss,action_disagreement_pct,delta_position_changes,delta_flat_pct
Full IQN,123,2024,DeltaBeta5d,DeltaBeta5d,1.413565,0.1976871,32.31075697211155,-2.15,-0.49800796812748943
Full IQN,123,2024,VolS_roll20,VolS_roll20,0.8761850000000001,0.12104060000000001,33.72509960159363,-9.25,-1.4143426294820711
Full IQN,123,2024,VolSM_roll20,VolSM_roll20,1.481035,0.2057953,44.62151394422311,-11.9,1.2151394422310762
Full IQN,123,2024,RegimeEGScore,RegimeEGScore,0.3599350000000001,0.049773899999999996,11.792828685258964,-7.75,-0.5577689243027881
Full IQN,123,2024,RegimeHLScore,RegimeHLScore,0.8378250000000002,0.11496284999999999,13.884462151394422,1.3,-0.95617529880478
Full IQN,123,2024,RegimeCVScore,RegimeCVScore,0.8581700000000001,0.11921765,30.517928286852587,4.0,1.7131474103585664
Full IQN,123,2024,EG + Half-life,RegimeEGScore + RegimeHLScore,-0.12583499999999986,-0.02198359999999995,11.513944223107568,-0.1,-2.051792828685258
Full IQN,123,2024,All Regime,RegimeEGScore + RegimeHLScore + RegimeCVScore,0.6777850000000001,0.0945836,32.50996015936255,3.0,1.733067729083666
Full IQN,123,2024,All Base,ZScore20 + SpreadReturn + RollStd20 + DeltaBeta5d + VolS_roll20 + VolSM_roll20,1.5006350000000002,0.20811069999999998,57.29083665338645,-0.95,2.2908366533864553
Full IQN,123,2025,ZScore20,ZScore20,-0.932935,-0.12316819999999999,31.52,-3.65,0.3000000000000015
Full IQN,123,2025,SpreadReturn,SpreadReturn,-0.6818150000000001,-0.0896423,29.880000000000003,-5.05,1.7200000000000013
Full IQN,123,2025,RollStd20,RollStd20,-0.59109,-0.07838355,26.22,-4.1,0.9400000000000015
Full IQN,123,2025,DeltaBeta5d,DeltaBeta5d,-0.09297999999999998,-0.011240250000000002,29.82,-5.7,1.6600000000000013
Full IQN,123,2025,VolS_roll20,VolS_roll20,-0.10979999999999998,-0.014257149999999996,37.8,-7.25,4.200000000000001
Full IQN,123,2025,VolSM_roll20,VolSM_roll20,0.8408300000000001,0.11026424999999998,41.04,-11.35,0.4800000000000016
