variant,seed,test_year,group,features,repeat,block_length,n_days,baseline_sharpe,perturbed_sharpe,sharpe_loss,baseline_net_pnl,perturbed_net_pnl,net_pnl_loss,action_disagreement_pct,delta_position_changes,delta_flat_pct
Full IQN,42,2021,RollStd20,RollStd20,9,20,251,-0.8102,-0.2803,-0.5299,-0.19155,-0.0688,-0.12275,33.067729083665334,8,0.0
Full IQN,42,2021,RollStd20,RollStd20,10,20,251,-0.8102,0.0753,-0.8855000000000001,-0.19155,0.018846,-0.210396,34.66135458167331,3,-6.374501992031874
Full IQN,42,2021,RollStd20,RollStd20,11,20,251,-0.8102,-0.888,0.07779999999999998,-0.19155,-0.222407,0.030856999999999996,33.067729083665334,0,-4.7808764940239055
Full IQN,42,2021,RollStd20,RollStd20,12,20,251,-0.8102,-1.003,0.19279999999999986,-0.19155,-0.241647,0.050097,35.45816733067729,14,0.3984063745019917
Full IQN,42,2021,RollStd20,RollStd20,13,20,251,-0.8102,-0.3411,-0.4691,-0.19155,-0.084932,-0.106618,34.66135458167331,9,-3.5856573705179304
Full IQN,42,2021,RollStd20,RollStd20,14,20,251,-0.8102,-0.2976,-0.5126000000000001,-0.19155,-0.071942,-0.11960799999999999,27.091633466135455,0,-3.1872509960159388
Full IQN,42,2021,RollStd20,RollStd20,15,20,251,-0.8102,-1.4971,0.6869000000000001,-0.19155,-0.368718,0.177168,41.03585657370518,0,0.3984063745019917
Full IQN,42,2021,RollStd20,RollStd20,16,20,251,-0.8102,-0.2723,-0.5379,-0.19155,-0.066882,-0.124668,29.880478087649404,18,0.7968127490039834
Full IQN,42,2021,RollStd20,RollStd20,17,20,251,-0.8102,-0.6891,-0.12109999999999999,-0.19155,-0.16686,-0.02468999999999999,32.669322709163346,4,0.7968127490039834
Full IQN,42,2021,RollStd20,RollStd20,18,20,251,-0.8102,-0.9672,0.15699999999999992,-0.19155,-0.231099,0.039549,37.84860557768924,5,-1.1952191235059786
Full IQN,42,2021,RollStd20,RollStd20,19,20,251,-0.8102,0.2419,-1.0521,-0.19155,0.059079,-0.250629,32.669322709163346,2,1.195219123505975
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,0,20,251,-0.8102,-0.1431,-0.6671,-0.19155,-0.030798,-0.160752,37.84860557768924,4,1.195219123505975
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,1,20,251,-0.8102,-1.6853,0.8751,-0.19155,-0.353278,0.16172799999999998,39.8406374501992,-1,0.3984063745019917
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,2,20,251,-0.8102,0.1553,-0.9655,-0.19155,0.033921,-0.225471,38.24701195219124,-3,0.7968127490039834
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,3,20,251,-0.8102,-0.4893,-0.3209,-0.19155,-0.116728,-0.074822,39.8406374501992,-1,3.187250996015937
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,4,20,251,-0.8102,-1.0743,0.2641,-0.19155,-0.232329,0.04077900000000001,40.63745019920319,3,-0.7968127490039869
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,5,20,251,-0.8102,0.6016,-1.4118,-0.19155,0.124203,-0.315753,38.24701195219124,12,2.39043824701195
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,6,20,251,-0.8102,-0.3701,-0.44010000000000005,-0.19155,-0.078428,-0.113122,43.42629482071713,-8,-0.39840637450199523
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,7,20,251,-0.8102,0.5038,-1.314,-0.19155,0.101461,-0.293011,47.410358565737056,5,0.7968127490039834
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,8,20,251,-0.8102,-0.5965,-0.2137,-0.19155,-0.122834,-0.068716,44.6215139442231,3,-1.5936254980079703
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,9,20,251,-0.8102,-0.9052,0.09499999999999997,-0.19155,-0.211861,0.020310999999999996,45.81673306772908,-7,-0.39840637450199523
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,10,20,251,-0.8102,-1.4101,0.5998999999999999,-0.19155,-0.289789,0.09823900000000002,39.8406374501992,-10,-2.3904382470119536
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,11,20,251,-0.8102,0.489,-1.2992,-0.19155,0.115589,-0.307139,38.24701195219124,0,-4.382470119521914
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,12,20,251,-0.8102,-1.9075,1.0973,-0.19155,-0.457194,0.265644,40.63745019920319,1,-1.992031872509962
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,13,20,251,-0.8102,-1.2228,0.4126000000000001,-0.19155,-0.244296,0.052746000000000015,46.613545816733065,3,0.7968127490039834
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,14,20,251,-0.8102,-0.6319,-0.17830000000000001,-0.19155,-0.135745,-0.055804999999999993,39.8406374501992,-7,0.7968127490039834
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,15,20,251,-0.8102,-0.3556,-0.4546,-0.19155,-0.072812,-0.118738,39.8406374501992,-17,3.187250996015937
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,16,20,251,-0.8102,-0.8573,0.04709999999999992,-0.19155,-0.177983,-0.013566999999999996,45.81673306772908,-3,-0.7968127490039869
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,17,20,251,-0.8102,-0.6136,-0.1966,-0.19155,-0.130385,-0.061165,39.44223107569721,-7,-1.992031872509962
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,18,20,251,-0.8102,0.3119,-1.1221,-0.19155,0.062872,-0.254422,49.00398406374502,-10,-0.7968127490039869
Full IQN,42,2021,DeltaBeta5d,DeltaBeta5d,19,20,251,-0.8102,-1.1272,0.31699999999999995,-0.19155,-0.267043,0.07549299999999998,42.23107569721115,-5,-1.5936254980079703
Full IQN,42,2021,VolS_roll20,VolS_roll20,0,20,251,-0.8102,-1.4516,0.6414,-0.19155,-0.334774,0.14322400000000002,27.88844621513944,-1,1.5936254980079667
Full IQN,42,2021,VolS_roll20,VolS_roll20,1,20,251,-0.8102,-1.0865,0.2763,-0.19155,-0.248057,0.056507,19.12350597609562,-1,-0.7968127490039869
Full IQN,42,2021,VolS_roll20,VolS_roll20,2,20,251,-0.8102,-0.8076,-0.0026000000000000467,-0.19155,-0.191984,0.00043399999999998995,24.701195219123505,-4,0.0
Full IQN,42,2021,VolS_roll20,VolS_roll20,3,20,251,-0.8102,-1.6595,0.8492999999999999,-0.19155,-0.363176,0.171626,23.107569721115535,-7,1.9920318725099584
Full IQN,42,2021,VolS_roll20,VolS_roll20,4,20,251,-0.8102,-0.8264,0.016199999999999992,-0.19155,-0.192253,0.0007030000000000092,23.107569721115535,13,5.577689243027887
Full IQN,42,2021,VolS_roll20,VolS_roll20,5,20,251,-0.8102,-1.3328,0.5226,-0.19155,-0.314382,0.122832,23.904382470119522,-8,1.9920318725099584
